,id,name,artists,artist_name,album,album_name,release_date,explicit,popularity,label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
0,00FaBIFXUfzaaVcsQmTTJY,Can't Hold Us,['26AHtbjWKiwYzsoGoUZq53'],['Pentatonix'],12dPqNFIdjiVFSHvtsDmzJ,"PTX, Vol. 2",2013-11-05,False,52.0,"Can't Hold Us|P,T,X,,, ,V,o,l,., ,2|Pentatonix",0.659,0.852,11.0,-6.186,0.0,0.122,0.0129,0.0,0.366,0.789,143.025,4.0,198040.0
1,00KiXBZT9vf1XhcqkFrzug,Downward,['19lQ2rJLlP71FOKESiMNJT'],['Ripe'],5zENm1Gr6BM9mmYkjyN43K,Joy in the Wild Unknown,2018-04-06,False,49.0,"Downward|J,o,y, ,i,n, ,t,h,e, ,W,i,l,d, ,U,n,k,n,o,w,n|Ripe",0.729,0.641,1.0,-5.871,1.0,0.038,0.15,0.0,0.114,0.714,120.002,4.0,224412.0
2,00UnG3dTXz9luKAaf8fFDW,Cocoon,['55nybOKXKVBjQ6v3c1pAWg'],['Jon Gomm'],0HY3IyHQQKBzsLpAP9QjFb,The Faintest Idea,2020-10-16,False,23.0,"Cocoon|T,h,e, ,F,a,i,n,t,e,s,t, ,I,d,e,a|Jon Gomm",0.44,0.223,10.0,-15.395,1.0,0.0538,0.797,0.00993,0.106,0.121,83.771,4.0,248800.0
3,00h12tbjC9Aa5uEuq9HrgO,Facts,['1CFCsEqKrCyvAFKOATQHiW'],['Lecrae'],5DPZqC3ySZkJClCvZlIq6K,All Things Work Together,2017-09-22,False,38.0,"Facts|A,l,l, ,T,h,i,n,g,s, ,W,o,r,k, ,T,o,g,e,t,h,e,r|Lecrae",0.601,0.75,7.0,-6.585,1.0,0.42,0.0702,0.0,0.554,0.655,180.043,4.0,241573.0
4,00h6syYCxPKVsInPHXhdZ1,Sarah Smiles,['20JZFwl6HVl6yg8a4H3ZqK'],['Panic! At The Disco'],5S0nsfYhHa1uz10V4yoWSL,Vices & Virtues,2011-03-18,False,59.0,"Sarah Smiles|V,i,c,e,s, ,&, ,V,i,r,t,u,e,s|Panic! At The Disco",0.332,0.837,5.0,-3.437,1.0,0.038,0.000324,0.0,0.164,0.551,171.341,4.0,213320.0
5,01eaVHg0J4CIbLMDNk0gDk,Stronger (Interlude),['0NrVrf231eji48nhNUJTXe'],['Laura Misch'],77KiLzyEWPVnzAzVA2mntL,Playground,2017-05-03,False,15.0,"Stronger (Interlude)|P,l,a,y,g,r,o,u,n,d|Laura Misch",0.277,0.0809,8.0,-19.307,1.0,0.0626,0.916,0.508,0.105,0.0405,95.088,4.0,99841.0
6,01vv2AjxgP4uUyb8waYO5Y,Morph,['3YQKmKGau1PzlVlkL1iodx'],['Twenty One Pilots'],621cXqrTSSJi1WqDMSLmbL,Trench,2018-10-05,False,66.0,"Morph|T,r,e,n,c,h|Twenty One Pilots",0.734,0.607,8.0,-7.249,0.0,0.0806,0.0747,0.000577,0.0968,0.518,90.023,4.0,258853.0
7,01xPsUg4QfgXwT0VqoykQT,Give In,"['1CFCsEqKrCyvAFKOATQHiW', '364Dr4NZu27f3AzS79o1SN']","['Lecrae', 'Crystal Nicole']",3RGQ7mzK3Ijn9MUcPNzv8W,Anomaly,2014-09-09,False,35.0,"Give In|A,n,o,m,a,l,y|Lecrae,Crystal Nicole",0.594,0.772,6.0,-4.258,0.0,0.0414,0.0575,0.0,0.148,0.408,137.089,4.0,227054.0
8,01zME4q62SDPtD0hOSmTrG,Creature Kind,"['3FLUBwpAnaIlIKeaBfsxFe', '5r5Va4lVQ1zjEfbJSrmCsS']","['Kito', 'BROODS']",7noNViHJAYZ3UxlhDNKAt9,Creature Kind,2018-09-07,False,31.0,"Creature Kind|C,r,e,a,t,u,r,e, ,K,i,n,d|Kito,BROODS",0.748,0.666,6.0,-6.094,0.0,0.0833,0.101,0.000653,0.0976,0.359,114.982,4.0,237667.0
9,02CygBCQOIyEuhNZqHHcNx,It Runs Through Me,"['1uiEZYehlNivdK3iQyAbye', '1Z8ODXyhEBi3WynYw0Rya6']","['Tom Misch', 'De La Soul']",28enuddLPEA914scE6Drvk,Geography,2018-04-06,False,68.0,"It Runs Through Me|G,e,o,g,r,a,p,h,y|Tom Misch,De La Soul",0.802,0.607,11.0,-11.028,0.0,0.289,0.205,0.000748,0.246,0.274,96.916,4.0,261881.0
10,02ZCUKTLwVFXdvbNq7kN8D,Downtime,"['0eZipjUat1rbp08ICpxU3S', '2jR0GaZ6sgwTykGveaVTv7', '3Lb2tw0rDcP1ADtJ1BVh3h']","['Roman Kouder', 'Regards Coupables', 'Chelsea Warner']",1AResaUp67nY8qvQbO9iLJ,Real,2021-04-23,False,8.0,"Downtime|R,e,a,l|Roman Kouder,Regards Coupables,Chelsea Warner",0.69,0.688,8.0,-8.05,0.0,0.114,0.279,0.00255,0.128,0.703,106.053,4.0,184997.0
11,02qVNMgMLvfjRtSUXDDmfU,"[as deep as you are tall, as suffocating as you are beautiful]",['33o00sXuyWiApOFzo0vr0z'],['Crywolf'],3xad1D7RkpRz7G6xNjuP44,widow [OBLIVIØN Pt. I],2019-03-22,False,19.0,"[as deep as you are tall, as suffocating as you are beautiful]|w,i,d,o,w, ,[,O,B,L,I,V,I,Ø,N, ,P,t,., ,I,]|Crywolf",0.257,0.319,2.0,-19.128,1.0,0.0364,0.974,0.94,0.323,0.0394,100.147,5.0,47032.0
12,02v4RyTzBW1AikXPcP3QJo,Bonebreaks,"['3uehHuq3shLct5F4AEx1An', '33QeDPfeSWWQSZmbUC15Ly', '42gnrsSSKKNNmfAJ0o3oyN']","['Allysa Grace', 'Carter Arrington', 'Soul Food Horns']",0nQ7scdffw5zp411ftLn9P,The Power of Roots,2018-04-27,False,1.0,"Bonebreaks|T,h,e, ,P,o,w,e,r, ,o,f, ,R,o,o,t,s|Allysa Grace,Carter Arrington,Soul Food Horns",0.526,0.32,7.0,-10.649,0.0,0.0378,0.436,0.0402,0.107,0.419,132.329,3.0,300198.0
13,03RNpvzwMGViDHvZKfbNIo,Halloween,['50JJSqHUf2RQ9xsHs0KMHg'],['Jon Bellion'],0Qfwzu4yfzVUIrBLittdDO,The Separation,2013-12-10,False,43.0,"Halloween|T,h,e, ,S,e,p,a,r,a,t,i,o,n|Jon Bellion",0.807,0.757,9.0,-4.43,0.0,0.185,0.285,0.0,0.311,0.534,99.939,4.0,166427.0
14,04aAxqtGp5pv12UXAg4pkq,Centuries,['4UXqAaa6dQYAk18Lv7PEgX'],['Fall Out Boy'],022DrG7Wp2PSCwzuD0bSzT,American Beauty/American Psycho,2015-01-20,False,81.0,"Centuries|A,m,e,r,i,c,a,n, ,B,e,a,u,t,y,/,A,m,e,r,i,c,a,n, ,P,s,y,c,h,o|Fall Out Boy",0.393,0.858,4.0,-2.868,0.0,0.0729,0.00359,0.0,0.102,0.56,176.042,4.0,228360.0
15,04gQHzS8FLPoNdnRKw4jDJ,"Wow, I'm Not Crazy",['6s22t5Y3prQHyaHWUN1R1C'],['AJR'],02tIakRsIFGW8sO4pBtJgj,Neotheater,2019-04-26,False,46.0,"Wow, I'm Not Crazy|N,e,o,t,h,e,a,t,e,r|AJR",0.284,0.609,3.0,-6.033,1.0,0.123,0.0438,0.0,0.177,0.521,85.386,4.0,196763.0
16,04nemEju86ULMJ1iy6EAsF,Natural Disaster,['26AHtbjWKiwYzsoGoUZq53'],['Pentatonix'],12dPqNFIdjiVFSHvtsDmzJ,"PTX, Vol. 2",2013-11-05,False,40.0,"Natural Disaster|P,T,X,,, ,V,o,l,., ,2|Pentatonix",0.487,0.71,10.0,-5.636,1.0,0.0718,0.107,0.0,0.0915,0.819,88.033,4.0,210560.0
17,05FeWp9OmolihnoR3Gmd7R,You're Everywhere,['6fU24B4K9kWmFt5WTwwsLF'],['Noah Floersch'],7c611wvcRnwjp9SlG6Hp4k,You're Everywhere,2019-11-29,False,30.0,"You're Everywhere|Y,o,u,',r,e, ,E,v,e,r,y,w,h,e,r,e|Noah Floersch",0.372,0.224,4.0,-17.376,1.0,0.0348,0.85,0.00148,0.105,0.252,84.86,4.0,279882.0
18,05iSkVvElnPUzllNvaXm0T,Jump,['3B83ffT0B4Si3ttxzY9fMz'],['Mike Dawes'],6Ac8njyBY0vdNyiyk8hc1r,Jump,2020-12-11,False,38.0,"Jump|J,u,m,p|Mike Dawes",0.672,0.449,2.0,-8.231,1.0,0.0284,0.415,0.898,0.0919,0.126,130.211,4.0,260711.0
19,05lrXGRJ1h93oQb3e5S8ax,[it was broken before i got here],['33o00sXuyWiApOFzo0vr0z'],['Crywolf'],3xad1D7RkpRz7G6xNjuP44,widow [OBLIVIØN Pt. I],2019-03-22,False,21.0,"[it was broken before i got here]|w,i,d,o,w, ,[,O,B,L,I,V,I,Ø,N, ,P,t,., ,I,]|Crywolf",0.263,0.156,0.0,-18.034,1.0,0.0349,0.984,0.102,0.189,0.249,137.738,5.0,121690.0
20,05sCp83gcMm1iecYydKJS3,Let's Hurt Tonight,['5Pwc4xIPtQLFEnJriah9YJ'],['OneRepublic'],30Ni9qg2MBeeZXybsMOQ7m,Oh My My,2016-12-02,False,64.0,"Let's Hurt Tonight|O,h, ,M,y, ,M,y|OneRepublic",0.359,0.713,5.0,-4.526,1.0,0.0366,0.33,0.0,0.324,0.272,61.519,4.0,194520.0
